,category,text,wiki_ids,wiki_names
10,politics,"МОСКВА, 26 мая — РИА Новости. Кандидатуру Леонида Слуцкого включат в список претендентов на пост председателя Либерально-демократической партии России, сообщил в Telegram член Высшего совета и замглавы фракции в Госдуме Ярослав Нилов.На минувшей неделе Слуцкого большинством голосов избрали главой фракции ЛДПР в Госдуме. Это произошло после того, как депутаты прекратили полномочия Владимира Жириновского, который умер 6 апреля на 76-м году жизни после тяжелой и продолжительной болезни.Нового лидера партии выберет внеочередной съезд, который назначен на 27 мая.","['Q2037108', 'Q4245427', 'Q200015', 'Q4406096']","['Слуцкий Леонид Эдуардович', 'Ярослав Иванович Кузьминов', 'Владимир Вольфович Жириновский', 'Салуцкий Анатолий Самуилович']"
11,politics,"МОСКВА, 26 мая - РИА Новости. Президент России Владимир Путин в четверг проведет встречу с бизнес-омбудсменом РФ Борисом Титовым, который доложит о работе за год, заявил пресс-секретарь главы государства Дмитрий Песков.""Президент сегодня примет &lt;...&gt; уполномоченного при президенте по защите прав предпринимателей, бизнес-омбудсмена так называемого, Бориса Титова. Он по соответствующему закону должен ежегодно представлять главе государства доклад о работе бизнес-омбудсмена"", - сказал Песков журналистам.Он также отметил, что Путин всегда высоко ценит усилия Титова по отслеживанию негативных тенденций, которые плохо влияют на бизнес, сдерживают развитие, а также его реакции на жалобы.","['Q23530', 'Q4458247', 'Q2367193', 'Q7747']","['Дмитрий Анатольевич Медведев', 'Борис Юрьевич Титов', 'Титов Константин Алексеевич', 'Владимир Владимирович Путин']"
12,politics,"МОСКВА, 26 мая - РИА Новости. Партия ""Единая Россия"" закрепит за каждой территорией Донбасса ответственных депутатов Госдумы и сенаторов, которые займутся гармонизацией законодательства, заявил секретарь генсовета ЕР Андрей Турчак.""Реализуется решение о шефстве российских регионов над освобожденными территориями, такие обязательства на сегодня взяли уже на себя Москва, Московская область, Воронежская, Нижегородская, Свердловская области, многие другие российские регионы. ""Единая Россия"", в свою очередь, закрепит за каждой территорией ответственных депутатов Государственной Думы, сенаторов РФ, которые займутся гармонизацией законодательства"", - сказал Турчак в ходе дискуссионной площадки форума ""Единой России"" ""Предпринимательство в новой экономической реальности"" - ""Экономическая интеграция с Донбассом и освобожденными территориями"".",['Q4466480'],['Андрей Анатольевич Турчак']
13,politics,"МОСКВА, 26 мая - РИА Новости. Кризис для России - не только проблемы, но и возможности, сообщил мэр Москвы Сергей Собянин, выступая на суперфинале конкурса ""Лидеры России"".""Здесь две надпись ""Лидеры России"" и ""Россия - страна возможностей"". Стандартные надписи, но сегодня за ними скрывается нечто большее, за последние годы ни одной команде лидеров не приходилось сталкиваться с такими вызовами, с которыми вы столкнетесь, поэтому вы должны быть не просто лидерами, вы должны быть суперлидерами, для того, чтобы преодолеть трудность, стать победителем. Россия - страна возможностей. Каждый кризис - это не только проблемы, но и возможности. Если исходить из этой формулы, то Россия - не только страна возможностей, но и кризисов, проблем, войн, революций, и потом страна возможной, в конечном счете - победы"", - сказал Собянин.Мэр отметил, что такого давления и санкций, как сегодня, никогда не было, но мы выстоим. И если посмотреть, то из 14 лет Россия находилась 8 лет в кризисах, и каждый раз страна и город их проходили.","['Q319497', 'Q4425782']","['Сергей Семёнович Собянин', 'Собкин Борис Львович']"
14,politics,"НОВОСИБИРСК, 26 мая – РИА Новости. Временно исполняющий обязанности губернатора Томской области Владимир Мазур признался, что назначение на этот пост стало для него неожиданностью.Президент РФ Владимир Путин 10 мая назначил Владимира Мазура врио губернатора Томской области после того, как прежний глава региона Сергей Жвачкин объявил об отставке. Официальное представление Мазура в качестве главы региона состоялось 12 мая.Он еще раз подтвердил, что в работе в Томской области планирует сконцентрироваться на развитии научного потенциала региона, а также на здравоохранении, образовании, развитии промышленности. Он намерен обратить особое внимание на сферу строительства как на ""драйвер экономики"".Говоря о принципах формирования своей команды, он отметил, что принципом ""пускай никакой, но свой"" руководствоваться не будет. По словам Мазура, ему нужны профессионалы, которые хорошо понимают свою работу.""Люди, которые отдаются работе и могут за это ответить. По этому принципу формируется команда. Сегодня люди, с которыми мы работаем,… мы друг к другу присматриваемся. Может быть мой стиль управления не подходит, может быть темп, который мы выбрали, не совсем подходит. Разные можно поставить перед собой желания и смотреть, как они совпадают с возможностями. Мы смотрим друг на друга и работаем"", - сказал Мазур.Как сообщалось, врио губернатора Томской области после назначения заключил контракты на два месяца с заместителями экс-главы региона Сергея Жвачкина, а кадровые решения будет принимать после анализа ситуации. За это время он принял отставку уже двух заместителей бывшего губернатора – вице-губернатора по инвестполитике и имущественным отношениям Юрия Гурдина и вице-губернатора по строительству и инфраструктуре Евгения Паршуто.","['Q2031238', 'Q313989', 'Q32024', 'Q270529', 'Q157921', 'Q8061698', 'Q7747']","['Мазяр Владимир Иванович', 'Сергей Вадимович Степашин', 'Сергей Кужугетович Шойгу', 'Евгений Максимович Примаков', 'Курт Мазур', 'Гурин Юрий Иосифович', 'Владимир Владимирович Путин']"
15,politics,"МОСКВА, 26 мая/ Радио Sputnik. Власти Германии стремятся сохранить тесные отношения с Россией, поэтому Берлин ""абсолютно не заинтересован в успехе Украины"". Такое заявление сделал профессор Университета Яна Кохановского Павел Сорока в интервью порталу Niezalezna.pl.Он согласился с аналитиком немецкой оппозиционной партии ХДС Родериком Кизеветтером, который высказал мнение о том, что власти в лице канцлера Олафа Шольца не желают оказывать киевским властям сколько-нибудь серьезную поддержку.Он связал это с зависимостью Германии от энергоресурсов и ""заинтересованностью в сильной России"" вопреки общему курсу НАТО. Профессор объяснил наличие разногласий в альянсе, в том числе позицией немецкого правительства.Стремление ФРГ поставить во главу угла свои экономические интересы может привести к серьезным последствиям для НАТО, в котором Германия остается весьма важной страной, продолжил польский эксперт. Ранее радио Sputnik сообщило, что глава евродипломатии Жозеп Боррель признал истощение военных запасов ЕС из-за Украины.Коротко и по делу. Только отборные цитаты в нашем Телеграм-канале.","['Q7356658', 'Q44057893', 'Q696028']","['Родерик Миллер', 'Сорока Павел Антонович', 'Жозеф Доль']"
16,politics,"МОСКВА, 25 мая - РИА Новости. Президент России Владимир Путин выразил уверенность, что под руководством Александра Куренкова МЧС будет развиваться и дальше с учетом стратегии министерства, принятой в 2021 году.Глава государства в среду приехал в МЧС представить министра личному составу.""Не сомневаюсь, что под его руководством министерство будет развиваться дальше, в том числе имея в виду решение, которое было принято в 2021 году. Имею в виду новую стратегия развития, план переоснащения министерства. Он у нас рассчитан до 2030 года"", - сказал президент.""Надеюсь, все планы будут реализованы"", - добавил Путин.Кандидатура Куренкова была внесена в Совфед президентом РФ. Он занимал должность замдиректора Росгвардии. В среду на заседании Совфед проголосовал за утверждение Куренкова на посту главы МЧС. Позже Путин подписал указ о его назначении.Предыдущий глава ведомства Евгений Зиничев погиб 8 сентября 2021 года на учениях в Норильске, пытаясь спасти кинорежиссера Александра Мельника. Зиничеву было 55 лет, пост главы МЧС он занял в 2018 году. Посмертно ему было присвоено звание Героя России.","['Q26180846', 'Q4248252', 'Q51844105', 'Q15072275', 'Q7747']","['Зиничев Евгений Николаевич', 'Куренков Александр Александрович', 'Юничева Рамина', 'Мельник Александр Владимирович', 'Владимир Владимирович Путин']"
17,politics,"МОСКВА, 25 мая — РИА Новости. Успехи России на Украине стали переломным моментом, заставившим США нервничать, заявил китайский военный эксперт Сун Чжунпин в интервью газете Global Times.По его мнению, заявление главы Пентагона Ллойда Остина о том, что происходящее на Украине — не битва США, демонстрирует истинное отношение Вашингтона к своим сателлитам. Как полагает Чжунпин, Америка пытается переложить ответственность за итоги противостояния на другие страны, а сама дистанцируется от терпящего поражение союзника.Россия с 24 февраля проводит специальную военную операцию по денацификации и демилитаризации Украины. Как подчеркнул Владимир Путин, ее цель заключается  ""а защите людей, которые на протяжении восьми лет подвергаются издевательствам, геноциду со стороны киевского режима"". По заявлению Минобороны, российская армия выполнила основные задачи первого этапа — значительно снизила боевой потенциал Украины. Главной целью в ведомстве назвали освобождение Донбасса.","['Q941013', 'Q702111', 'Q7815258', 'Q7747']","['Ллойд Остин', 'Чарли Сун', 'Том Чэпин', 'Владимир Владимирович Путин']"
18,politics,"МОСКВА, 25 мая - РИА Новости. Госдума на пленарном заседании в среду лишила Валерия Рашкина мандата в связи с тем, что против депутата от КПРФ вступил в силу обвинительный приговор.За принятие соответствующего проекта постановления проголосовали 337 депутатов, против - 58, воздержались - 14.Комиссия Госдумы по мандатным вопросам во вторник внесла в палату проект постановления о досрочном прекращении депутатских полномочий Рашкина.Саратовский областной суд в понедельник отказал в удовлетворении апелляционной жалобы Рашкина на приговор по делу о незаконной охоте, решение вступило в законную силу.Калининский районный суд Саратовской области 22 апреля приговорил Рашкина к трем годам лишения свободы условно с испытательным сроком на два года. Ему также запретили охотиться в течение двух лет. Саратовский областной суд 24 мая отказал в удовлетворении апелляционной жалобы депутата, и решение вступило в законную силу.В ночь на 29 октября 2021 года в Саратовской области Рашкин без лицензии застрелил лося, спрятал оружие, а разделанную тушу сложил в багажник машины. Ему предъявили обвинение по части 2 статьи 258 УК РФ — ""Незаконная охота группой лиц по предварительному сговору"". Рашкин не признавал вину и настаивал на том, что не осознавал преступности своих действий. Депутат признал вину перед оглашением приговора, но ""сослался на незнание закона"".Рашкина также лишили водительских прав на полтора года и оштрафовали на 30 тысяч рублей, поскольку он был за рулем с признаками опьянения.",['Q4391353'],['Валерий Фёдорович Рашкин']
19,politics,"Владимир Путин принимает участие в президиуме Госсовета по социальным вопросам, на заседании в том числе обсуждается индексация социальных выплат.",['Q7747'],['Владимир Владимирович Путин']
20,politics,"МОСКВА, 25 мая - РИА Новости. МЧС России работает с хорошей отдачей и профессионально, заявил президент Владимир Путин, представляя сотрудникам ведомства нового министра Александра Куренкова.""Уважаемые товарищи, у вас очень много работы, система работает с хорошей отдачей, профессионально. Хочу вас всех за это поблагодарить и выразить надежду на то, что так будет в дальнейшем. Мы все на вас надеемся"", - сказал Путин.Кандидатура Куренкова, до последнего времени замдиректора Росгвардии, была внесена в Совфед главой государства. В среду на заседании Совфед проголосовал за утверждение Куренкова на посту главы МЧС, позже Путин подписал указ о назначении.Предыдущий глава ведомства Евгений Зиничев погиб 8 сентября 2021 года на учениях в Норильске, пытаясь спасти кинорежиссера Александра Мельника. Зиничеву было 55 лет, пост главы МЧС он занял в 2018 году. Посмертно ему присвоено звание Героя России.","['Q26180846', 'Q51844105', 'Q4248252', 'Q15072275', 'Q7747']","['Зиничев Евгений Николаевич', 'Юничева Рамина', 'Куренков Александр Александрович', 'Мельник Александр Владимирович', 'Владимир Владимирович Путин']"
21,politics,"МОСКВА, 25 мая - РИА Новости. Президент России Владимир Путин поблагодарил Александра Чуприяна за работу в качестве временно исполняющего обязанности главы МЧС РФ.""Хочу поблагодарить Александра Петровича Чуприяна за ту работу, которую он проделал все это время в качестве... заместителя руководителя, а за ним - исполняющего обязанности. Это всегда непросто - руководить ведомством, не имея как бы целиком полномочий"", - сказал Путин, представляя сотрудникам ведомства нового министра Александра Куренкова.""Александр Петрович [Чуприян] - человек тоже опытный очень, профессиональный. Он сделал это, справился, и я хочу вас еще раз действительно от всего сердца поблагодарить"", - добавил президент.Глава государства также выразил надежду, что руководящий состав МЧС РФ проявит лучшие качества и поможет новому руководителю войти в курс дела. В этом заинтересованы все, отметил Путин.Путин также предложил свою личную помощь новому министру - в случае необходимости.""Александр Вячеславович, мы давно с вами не виделись, ну вот, входите в курс дела. Как только необходимость возникнет, сразу, пожалуйста, я вас жду в любой момент. Дайте знать и приходите"", - предложил он.","['Q875398', 'Q314116', 'Q4248252', 'Q29865553', 'Q7747']","['Шапиро Александр Петрович', 'Александр Владимирович Руцкой', 'Куренков Александр Александрович', 'Александр Петрович Чуприян', 'Владимир Владимирович Путин']"
22,politics,"МОСКВА, 25 мая - РИА Новости. Президент России Владимир Путин представил нового главу МЧС Александра Куренкова, рассказав, что он начинал свой профессиональный путь рядовым сотрудником в органах госбезопасности, не является карьеристом в плохом смысле слова, а наоборот, ""служака"", умеющий досконально погружаться в свое дело.""Добрый день, уважаемые товарищи. Сегодня представляю вам нового министра по чрезвычайным ситуациям, Александра Вячеславовича Куренкова. Александр Вячеславович начал свою деятельность рядовым сотрудником в органах государственной безопасности, затем длительное время также работал в Федеральной службе охраны, последнее место работы - заместитель директора Федеральной службы войск Национальной гвардии"", - сказал Путин в центре управления в кризисных ситуациях МЧС.Президент отметил, что теперь Куренков поднимется на еще одну ступеньку в своей профессиональной карьере.""Но Александр Вячеславович не карьерист в плохом смысле слова, а наоборот, он служака. Знает то дело, за которое берется, досконально. Умеет погружаться. Умеет, будучи человеком зрелым, выстроить отношения в коллективе. Я уверен, так произойдет и в руководящем звене министерства по чрезвычайным ситуациям, и в министерстве в целом. Опираясь при этом, конечно, на профессионалов"", - сказал Путин.Кандидатура Куренкова была внесена в Совфед президентом РФ. Он занимал должность замдиректора Росгвардии. В среду на заседании Совфед проголосовал за утверждение Куренкова на посту главы МЧС. Позже Путин подписал указ о его назначении.Предыдущий глава ведомства Евгений Зиничев погиб 8 сентября 2021 года на учениях в Норильске, пытаясь спасти кинорежиссера Александра Мельника. Зиничеву было 55 лет, пост главы МЧС он занял в 2018 году. Посмертно ему было присвоено звание Героя России.","['Q178903', 'Q15072275', 'Q26180846', 'Q51844105', 'Q4248252', 'Q2866', 'Q7747']","['Александр Гамильтон', 'Мельник Александр Владимирович', 'Зиничев Евгений Николаевич', 'Юничева Рамина', 'Куренков Александр Александрович', 'Александр Григорьевич Лукашенко', 'Владимир Владимирович Путин']"
